sample_index,time,x,y,session_id,participant_id,source_type,start_x,start_y,target_x,target_y,sample_interval_ms,bot_seed,planned_duration_s,control_x,control_y,noise_amplitude_px,generator_version
0,0.0,528,419,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
1,0.005132,528,419,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
2,0.010383,527,419,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
3,0.015235,527,419,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
4,0.020233,526,419,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
5,0.025331,526,418,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
6,0.030583,526,418,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
7,0.035648,525,418,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
8,0.040565,525,418,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
9,0.045373,525,418,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
10,0.050649,524,418,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
11,0.055421,524,418,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
12,0.060216,523,418,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
13,0.065365,523,417,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
14,0.070277,523,417,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
15,0.075395,522,417,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
16,0.080472,522,417,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
17,0.085201,521,417,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
18,0.09037,521,417,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
19,0.095529,521,417,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
20,0.100587,520,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
21,0.105759,520,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
22,0.111001,519,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
23,0.115969,519,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
24,0.120791,518,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
25,0.125568,518,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
26,0.130441,518,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
27,0.135286,517,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
28,0.14001,517,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
29,0.145294,516,416,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
30,0.150037,516,415,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
31,0.154796,516,415,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
32,0.159727,515,415,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
33,0.16502,514,415,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
34,0.169855,514,415,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
35,0.174624,514,414,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
36,0.179535,513,414,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
37,0.184292,513,414,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
38,0.189129,512,414,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
39,0.193883,512,414,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
40,0.198636,511,414,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
41,0.203757,510,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
42,0.208816,510,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
43,0.213897,509,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
44,0.219123,509,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
45,0.224371,508,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
46,0.229581,507,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
47,0.234357,507,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
48,0.239633,506,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
49,0.244402,506,413,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
50,0.24915,505,412,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
51,0.254038,504,412,session_14,P04,bot_adversarial,528,419,139,490,5,42548,1.0,314.36098374089835,349.63975598886566,0.0,bots_v1
